2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '273' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '275' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '274' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '0' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '0' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '0' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '0' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
